Turbine_ID;Component;Timestamp;Remarks
T01;GEARBOX;2016-07-18T02:10:00+00:00;Gearbox pump damaged
T06;GENERATOR;2016-07-11T19:48:00+00:00;Generator replaced
T06;GENERATOR;2016-07-24T17:01:00+00:00;Generator temperature sensor failure
T06;GENERATOR;2016-09-04T08:08:00+00:00;High temperature generator error
T06;GENERATOR;2016-10-27T16:26:00+00:00;Generator replaced
T06;GENERATOR;2016-10-02T17:08:00+00:00;Refrigeration system and temperature sensors in generator replaced
T06;HYDRAULIC_GROUP;2016-04-04T18:53:00+00:00;Error in pitch regulation
T07;GENERATOR_BEARING;2016-04-30T12:40:00+00:00;High temperature in generator bearing (replaced sensor)
T07;TRANSFORMER;2016-07-10T03:46:00+00:00;High temperature transformer
T07;TRANSFORMER;2016-08-23T02:21:00+00:00;High temperature transformer. Transformer refrigeration repaired
T09;GEARBOX;2016-10-11T08:06:00+00:00;Gearbox repaired
T09;GENERATOR_BEARING;2016-06-07T16:59:00+00:00;High tempemperature generator bearing
T09;GENERATOR_BEARING;2016-08-22T18:25:00+00:00;High temperature generator bearing
T09;GENERATOR_BEARING;2016-10-17T09:19:00+00:00;Generator bearings replaced
T11;GENERATOR;2016-03-03T19:00:00+00:00;Electric circuit error in generator
T11;HYDRAULIC_GROUP;2016-10-17T17:44:00+00:00;Hydraulic group error in the brake circuit
